mekan,tur,website,kaynak,kalem_sayisi,medyan_fiyat
Gazi Üniversitesi Mühendislik Yemekhanesi,fast_food,https://mediko.gazi.edu.tr,js,0,
Geyik Cafe Bistro,cafe,https://www.geyikcafebistro.com.tr,js,0,
Greenwich Coffee,cafe,https://greenwichcoffee.com,woo,100,280.00
GUA Coffee Company Vega Center,cafe,https://www.instagram.com,js,0,
Guşgana Kebap,restaurant,https://www.gusgana.com,js,0,
Gıyma Kebap,restaurant,http://instagram.com,js,0,
Hacegan Sofrası,restaurant,https://hacegansofrasi.net,js,0,
homies pub,bar,https://www.instagram.com,js,0,
Hype Coffee,cafe,https://www.instagram.com,js,0,
IF Sokak,pub,https://ifsokak.com,js,0,
IF Sokak Tunus,pub,https://ifsokak.com,js,0,
IF Sokak Çayyolu,pub,https://ifsokak.com,js,0,
Jolly Joker Ankara,bar,http://www.jjankara.com,js,0,
Kafeterya,cafe,https://kafeterya.metu.edu.tr,js,0,
Kalender Zebra,restaurant,https://kalenderzebra.com,js,0,
Kavakli Restaurant,restaurant,https://www.kavaklirestaurant.com,js,0,
Keyfimce,cafe,http://keyfimcecafe.com,js,0,
KITA MU Ankara,restaurant,https://www.instagram.com,js,0,
Klas Pastanesi,cafe,https://www.klaspastaneleri.com,js,0,
Klinik Kahve,cafe,https://cliniccoffee.com,js,0,
Komagene,fast_food,https://www.komagene.com.tr,js,0,
Komagene,fast_food,https://komagene.com.tr,js,0,
Komagene,fast_food,https://komagene.com.tr,js,0,
Komagene,fast_food,https://komagene.com.tr,js,0,
Konakbay Çibörek-Mantı,restaurant,http://www.konakbay.com.tr,js,0,
Kronotrop,cafe,https://kronotrop.com.tr,js,0,
Kronotrop Ankara Vega Center Bakery,cafe,https://www.kronotrop.com.tr,js,0,
Köfteci Yusuf,restaurant,https://www.kofteciyusuf.com,js,0,
Közname - Tepe Prime,restaurant,https://kozname.com,js,0,
Liman Kitap Kafe,cafe,https://www.limankitap.com,js,0,
Livane Restaurant - Artvin Evi,restaurant,https://livanerestaurant.com,js,0,
Mabel Engelesiz Cafe,cafe,https://www.mamak.bel.tr,js,0,
Mado,cafe,https://mado.com.tr,js,0,
Maharet Mantı Ankara & Kayseri Yağlaması,restaurant,https://www.maharetmanti.com,js,0,
Marmara Tabldot Restoran,restaurant,http://kafemud.bilkent.edu.tr,js,0,
Marrakesh Garden Etlik,cafe,https://www.marrakeshgardenetlik.com,js,0,
Melek Cafem,cafe,http://www.melekcafem.com,js,0,
Mezzaluna,restaurant,https://www.mezzaluna.com.tr,js,0,
Meşhur Özçelik Aspava,restaurant,https://ozcelikaspava.com,js,0,
Meşhur Ülgerler Aspava,restaurant,https://www.ulgerleraspavaetlik.com,js,0,
Midpoint,restaurant,https://www.midpoint.com.tr,js,0,
Miso Ramen Ankara,restaurant,https://misoramenankara.qr.menulux.com,js,0,
Mozaik Kebap,restaurant,http://www.mozaikkebap.com,js,0,
Mozart Cafe,cafe,http://www.mozartcafe.com.tr,js,0,
Mutlu Döner,restaurant,https://mutludoner.com.tr,js,0,
Mutlu Günler Fırını,restaurant,https://mutlugunlerfirini.com.tr,js,0,
Mutlu Günler Fırını,restaurant,https://mutlugunlerfirini.com.tr,js,0,
Mutlu Günler Fırını,restaurant,https://mutlugunlerfirini.com.tr,js,0,
N'JOY Lounge,cafe,https://www.instagram.com,js,0,
New Jersey Coffee House,cafe,https://www.newjerseycoffeehouse.com,js,0,
Niyokki Armada,restaurant,https://niyokki.com.tr,js,0,
Niyokki Tepe Prime,restaurant,https://niyokki.com.tr,js,0,
Niyokki Vista,restaurant,https://niyokki.com.tr,js,0,
Nusr-Et Steakhouse Ankara,restaurant,https://www.nusr-et.com.tr,js,0,
Ovalı Etliekmek,restaurant,https://www.ovalietliekmek.com,js,0,
Pan Çiğ Köfte,fast_food,https://www.pancigkofte.com,js,0,
Pizza Time,restaurant,https://pizzatime.com.tr,js,0,
Quick China,restaurant,https://www.quickchina.com.tr,js,0,
Quito Coffee,cafe,https://www.instagram.com,js,0,
Ring Music Studio & Living Room,cafe,https://ringstudio.city,js,0,
Runik Board Game Cafe,cafe,https://runik.com,js,0,
Sagaris Ege ve Akdeniz Mutfağı,restaurant,https://www.sagarisbalikcisi.com,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Sultan Restoran,restaurant,http://kafemud.bilkent.edu.tr,js,0,
Süha  Döner & Köfteci,restaurant,https://restaurantguru.com,js,0,
Tarabya Balık Çayyolu,restaurant,https://www.tarabyabalikcisi.com,js,0,
Tarihi İnegöl Köftecisi Nevzat Usta,restaurant,https://www.nevzatusta.com,js,0,
Tavacı Recep Usta Parkvadi,restaurant,https://www.recepustaparkvadi.com,js,0,
Tavacı Recep Usta Ümitköy Şubesi,restaurant,https://tavacirecepusta.com.tr,js,0,
Tetra N Roastery,cafe,https://tetranroastery.com,js,0,
The York Pub and Bar,pub,https://www.instagram.com,js,0,
This Town's Last Stop,restaurant,http://www.thistownslaststop.net,js,0,
Urumchi Uyghur Restaurant,restaurant,https://www.instagram.com,js,0,
Veganarsist Kızılay,cafe,https://veganarsist.com,woo,59,150.00
Vinni the Vegan Witch,cafe,https://www.instagram.com,js,0,
Wedding in Anka,restaurant,https://weddinginankara.com,js,0,
Yelken Balık,restaurant,https://yelkenbalik.com.tr,js,0,
Yöresel Türk Mutfağı,restaurant,https://yoreselturkmitfagi.com,js,0,
Çadır Kafe,cafe,https://cadirkafeankara.menudgtl.com,js,0,
Çiçek Lokantası,restaurant,https://ciceklokantasi.com.tr,js,0,
Çiğköftesim,restaurant,https://www.cigkoftesim.com,js,0,
Çukurağa Sofrası,restaurant,http://cukuraga.com.tr,html,28,850.00
% Arabica,cafe,http://www.arabicacoffee.com.tr,js,0,
36 Konukzade Restaurant Pansiyon,restaurant,http://www.36konukzade.com,js,0,
Acıktım Köfte Kalkan,restaurant,http://www.kalkandayaztatili.com,js,0,
Ada Kafe & Ev yemekleri,cafe,https://www.yemeksepeti.com,js,0,
Adalya,restaurant,https://www.cocoline.com.tr,js,0,
Adanali Kemal Usta,restaurant,http://adanalikemalusta.com,js,0,
Adem'in Yeri,restaurant,https://www.adrasanademinyeri.com,js,0,
Al-Fakher Turkish Delight,restaurant,https://www.alfakher.com.tr,js,0,
Alanya City Pizza,restaurant,https://www.alanyacitypizza.com,js,0,
Alexandretta Restaurant,restaurant,https://AlexandrettaRestaurant.com,js,0,
Anna,restaurant,https://dogalanneeli.com,html,2,950.00
Antalya Anadolu Restaurant,restaurant,https://anadolupark.com.tr,js,0,
Antalya Balikevi,restaurant,https://antalyabalikevi.com.tr,js,0,
Aphrodite Restaurant & Lounge,restaurant,http://www.aphroditeside.com,js,0,
Arby's,fast_food,https://www.arbys.com.tr,js,0,
Asmani Restaurant,restaurant,https://www.asmanirestaurant.com,js,0,
Ayar Meyhanesi,restaurant,https://ayarmeyhanesi.com,js,0,
Base,restaurant,https://basebungalows.com,js,0,
Bean of Coffee,restaurant,http://mahmutlarlife.ru,js,0,
Belforno Restaurant,restaurant,https://belmondosuites.com,js,0,
Bereket Döner,cafe,https://bereketdoner.com.tr,js,0,
"bi lokma ""Mama's Kitchen""",restaurant,https://www.bilokma.com.tr,js,0,
Bidana Döner,cafe,https://www.bidanadoner.com.tr,js,0,
BigChefs,restaurant,https://www.bigchefs.com.tr,js,0,
Bisküvi Mutfak Kahve Evi,cafe,https://biskuvimutfak.com,js,0,
Bodamya Tepe,restaurant,http://bodamyatepe.com,js,0,
Bombay Masala,restaurant,https://bombaymasalaantalya.com,js,0,
Bonjour Lounge,restaurant,https://www.instagram.com,js,0,
Bragi,restaurant,https://bragi.com.tr,js,0,
Bunbun Kaş,fast_food,https://www.bunbunkasmenu.com,js,0,
burger King,fast_food,https://www.burgerking.com.tr,js,0,
By Marrakech Cafe,cafe,https://allzinapp.com,js,0,
Caglayan Restaurant,restaurant,http://www.caglayanrestaurant.com,js,0,
Callisto Pub & Kitchen Hotel,pub,https://www.instagram.com,js,0,
Can Ciğer Cafe,restaurant,https://cancigerocakbasi.com,js,0,
CANIM KEBAP,restaurant,https://canim-kebap.eatbu.com,js,0,
Carmelo,cafe,https://coffeecarmelo.com,js,0,
CebeliTeyirtepe Restaurant,restaurant,https://www.facebook.com,js,0,
Charms Coffee,cafe,https://charmscoffee.com,js,0,
Chatme,cafe,https://chatme.com.tr,js,0,
chefyunuskalkan,restaurant,https://chefyunuskalkan.com,js,0,
Chemex,cafe,https://www.chemexcoffee.com.tr,js,0,
Chicken stop,fast_food,https://chickenstop.com.tr,js,0,
Chocolabs Çikolata & Kahve,cafe,https://www.instagram.com,js,0,
Cihan Kebap Restaurant,restaurant,https://www.sidecihan.com,js,0,
Conny's Restaurant - Bar,restaurant,https://connys.wixsite.com,js,0,
D La Plaza,restaurant,https://www.dlaplaza.com,js,0,
Demre Bungalow & Cafe & Zühre,restaurant,https://zuhrebungalov.com.tr,js,0,
Domino's,fast_food,https://www.dominos.com.tr,html,144,370.00
Dospresso,cafe,https://www.dospresso.com,woo,17,75.00
Dospresso,cafe,https://www.dospresso.net,js,0,
Doğa sofrası,restaurant,https://dogasofrasi.com,js,0,
Dükkan Pub,pub,https://www.dukkanpup.com,js,0,
Dürümle,fast_food,https://www.durumle.com,js,0,
Dımçayı Pınarbaşı,restaurant,https://dimcayipinarbasi.com,js,0,
EKO,restaurant,http://mahmutlarlife.ru,js,0,
Elmalı Sultan Sofrası,restaurant,https://www.sultansofrasi.net,js,0,
Etbaz,restaurant,http://www.etbazalanya.com,js,0,
Eterna House,restaurant,https://eternahouse.com.tr,js,0,
Fener Restaurant Lara,restaurant,http://www.fener1945.com,js,0,
Feneraltı Cafe & Restaurant,restaurant,https://feneralti.com,js,0,
Finike 2000,restaurant,http://www.hotelfinike2000.com,js,0,
Flamingo lara,restaurant,https://qr.finedinemenu.com,js,0,
Flash Restaurant,restaurant,https://www.flashrestaurant.com.tr,js,0,
Forellenhof Göynük Fish & Steak House,restaurant,https://www.facebook.com,js,0,
Gardenia Restaurant,restaurant,http://www.restaurantgardenia.com,js,0,
Giant Stride,cafe,https://qr.adisyo.com,js,0,
Giant Stride,cafe,https://qr.adisyo.com,js,0,
Gloria Jean's coffees,cafe,https://gloriajeans.com.tr,js,0,
Godo Coffee &More,cafe,https://godocoffeeandmore.com,woo,6,146.99
Green salads,restaurant,https://www.greensalads.com.tr,js,0,
Gypsophila Club Marine - Ethno Turkish A'la Carte Restaurant,restaurant,https://www.gypsophilamarine.com,js,0,
Gypsophila Club Marine - Restro Main Restaurant,restaurant,https://www.gypsophilamarine.com,js,0,
Gypsophila Club Marine - See You Fish A'la Carte Restaurant,restaurant,https://www.gypsophilamarine.com,js,0,
Gypsophila Club Marine - Trattoria Italian A'la Carte Restaurant,restaurant,https://www.gypsophilamarine.com,js,0,
Gypsophila Club Marine Snack Bar & Restaurant,restaurant,https://www.gypsophilamarine.com,js,0,
Göksel Tantuni,fast_food,https://www.gokseltantuni.com,js,0,
Hancı,restaurant,https://hancionline.com,js,0,
Hawaii Restaurant & Bar,restaurant,https://hawaiirestaurantbar.com,js,0,
Hayal Gözleme Kahvaltı Cafe,restaurant,https://www.instagram.com,js,0,
Hekimoğlu Kokoreç,fast_food,https://www.yemeksepeti.com,js,0,
Hilmi Beken Restaurant,restaurant,https://hilmibeken.com,js,0,
Hotel Aybars,restaurant,http://aybarshotel.com,js,0,
Hüseyinin Yeri,restaurant,http://www.ucuzvillam.com,js,0,
İkizler Motel,restaurant,https://www.hotelaslihan.com,js,0,
Kahve Diyarı,restaurant,https://www.kahvediyari.com.tr,js,0,
Kahvedeyiz,cafe,https://kahvedeyizcafe.com,js,0,
Karma Restaurant,restaurant,https://karmaside.com,js,0,
Kasap Şeref Izgara,restaurant,https://kasapseref.com,js,0,
Keyf-i Künefe Cikcilli,cafe,http://keyfikunefe.com,js,0,
Keyfi Künefe,cafe,https://keyfikunefe.com.tr,js,0,
KFC,fast_food,https://kfcturkiye.com,js,0,
Kiwi Park Yağmur Evleri,restaurant,https://www.kiwiparkyagmurevleri.com,js,0,
Klub Kristall restoran,restaurant,https://klubkristall.com,js,0,
Korner Restaurant & Bar,restaurant,https://www.kornerrestaurantbar.com,js,0,
Köfteci Ramiz,restaurant,https://www.kofteciramiz.com,js,0,
Köfteci Ramiz,restaurant,https://www.kofteciramiz.com,js,0,
Köfteci Yusuf,restaurant,https://www.kofteciyusuf.com,js,0,
Köfteci̇ Yusuf,restaurant,https://kofteciyusuf.com,js,0,
La Rocca,cafe,http://www.laroccabistro.com,js,0,
La'Vera Restaurant,restaurant,https://instagram.com,js,0,
LafLafa,restaurant,http://www.laflafacafe.com,js,0,
Lahmacun Prime,restaurant,https://www.lahmacunprime.com,html,5,420.00
Leman Kültür,cafe,https://www.lemankultur.com.tr,js,0,
Level,restaurant,https://levelkaleici.com,js,0,
Likya Otel,restaurant,https://www.likyaadrasanotel.com,js,0,
Lime,restaurant,https://www.limerestaurantside.com,js,0,
Little Vietnam,fast_food,https://www.littlevietnam.cafe,js,0,
Luna Garden,cafe,https://lunagarden.com.tr,js,0,
Macbear Coffee Co. Tapas,cafe,https://www.mackbearcoffee.com,js,0,
Mackbear,cafe,https://mackbearcoffee.com,js,0,
Mackbear Altınkum,cafe,https://www.kokoyakisushi.com,js,0,
Mackbear Kampüs Manavgat,cafe,https://www.google.com,js,0,
May flower's Corner cafe,cafe,http://www.sevenbrasserie.com,js,0,
McDonald's,fast_food,https://www.mcdonalds.com.tr,js,0,
McDonald's,fast_food,https://www.mcdonalds.com.tr,js,0,
Meets Burger Cafe,restaurant,http://meetsburgercafe.com,js,0,
Mersin Class Tantuni Döner,fast_food,https://www.instagram.com,js,0,
Meşhur Sariyer Börek Si̇mi̇t Evi̇,cafe,https://meshursariyerboreksimitevi.eatbu.com,js,0,
Misti Fresh Drinks & Cocktails,cafe,https://mistidrinks.com,js,0,
Mox Restobar,restaurant,https://www.instagram.com,js,0,
Mr Anjeliq Kitchen,restaurant,https://www.mranjeliqkitchen.com,js,0,
Natur-el Turkish Kitchen,restaurant,https://www.natur-el.com,js,0,
NesBu Cafe Restaurant,cafe,https://www.instagram.com,js,0,
Northmen,restaurant,https://qr.finedinemenu.com,js,0,
Nur Pastaneleri,cafe,https://www.nurgida.com.tr,js,0,
"Nuri's Beach Bar possible, rent boat to kash",bar,https://www.nurisbeach.com,js,0,
Nuri's Beach Restaurant,restaurant,https://www.nurisbeach.com,js,0,
Oburus Momus,restaurant,http://oburusmomus.com,js,0,
Omar's Kokobüs - Mobil Köfteci,fast_food,https://www.kalkanyemek.com,js,0,
Orange Bar,bar,https://www.olymposorangepension.com,js,0,
Orfoz Restaurant & Lounge Bar,restaurant,https://www.sideorfoz.com,js,0,
Oxygen Pub,pub,http://www.netagram.com,js,0,
Pacco Bistro,cafe,https://bistro.paccohotel.com,js,0,
Palm Beach Damlataş Restaurant,restaurant,https://alanya.dk,js,0,
Palmen Haus,cafe,https://www.palmenhausantalya.com,js,0,
Panorama,restaurant,https://alanyapanorama.com,js,0,
Pastorale,restaurant,https://www.instagram.com,js,0,
patizim,cafe,https://www.patizim.com,js,0,
Paşa Kır Bahçesi Çakırlar Kahvaltı,restaurant,http://www.pasakirbahcesi.com,js,0,
Pidem,fast_food,https://pidem.com.tr,js,0,
Pisekâr,cafe,https://pisekarveganfood.com,js,0,
Pizza Tomato,fast_food,http://www.pizzatomato.com.tr,html,9,610.00
Plumeria,restaurant,http://www.plumeria.com.tr,js,0,
Puding Restaurant,restaurant,https://www.pudinghotels.com,js,0,
Punto,cafe,http://puntodondurma.com,js,0,
Pura Vida Beach No. 73,restaurant,https://puravida.restaurant,js,0,
Pura Vida Restaurant,restaurant,https://puravida.restaurant,js,0,
QBIK PUB & BAR,restaurant,https://derinnhotel.com,js,0,
Queen Sahne Antalya,restaurant,https://instagram.com,js,0,
Quzu,restaurant,https://allzinapp.com,js,0,
Redbox,restaurant,https://www.redboxkas.com,html,3,300.00
Reka Cafe Alanya,cafe,https://rekacafealanya.com,js,0,
Rich Karaoke Bar,bar,https://www.richierichclubotel.com,js,0,
Rivera Park Restaurant,restaurant,https://www.beycikrivieraparkrestaurant.com,js,0,
Riviera Bistro,restaurant,https://www.rivierabistrocafe.com,js,0,
Robert’s coffee,cafe,http://menu.robertscoffeebeachpark.com,js,0,
Rolik sushi Alanya,restaurant,https://alanya.roliksushi.com,js,0,
Rolik sushi Antalya,restaurant,https://roliksushi.com,js,0,
Route Burger House,restaurant,http://www.routeburger.com,js,0,
Rüya Tepe,restaurant,http://www.ruyatepe.com,js,0,
Saban Treehouses,restaurant,http://www.sabanpansion.com,js,0,
Schiller,cafe,https://schillerturkiye.com,js,0,
Schiller,cafe,https://qr-menu.simprasuite.com,js,0,
Seyir Park,restaurant,https://seyirpark.com,js,0,
Seyyah Döner,fast_food,https://www.seyyahdoner.com.tr,js,0,
Shakespeare,cafe,https://www.shakespearebistro.com,js,0,
Shakespeare,restaurant,https://www.shakespearebistro.com,js,0,
Shakespeare,cafe,https://shxpr.com,js,0,
Shakespeare,cafe,https://paket.shxpr.com,js,0,
Shark,cafe,https://sharkkafebeach.eatbu.com,js,0,
SheMall AVM,cafe,http://www.shemall.com.tr,js,0,
SKY HOOKAN & COFFEE(water pipe),cafe,http://fb.com,js,0,
Snowdrop restaurant,restaurant,https://snowdrop.club,js,0,
Social Point,restaurant,https://socialpoint.com.tr,js,0,
Soul Of Kitchen,restaurant,https://www.anjeliqhouse.com,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.com.tr,js,0,
Starbucks,cafe,https://www.starbucks.com.tr,js,0,
Streetcafe Adrasan,bar,http://www.streetcafe-adrasan.de,js,0,
Subway,fast_food,https://www.subway.com,js,0,
Sweet Story,cafe,https://www.instagram.com,js,0,
Sütbeyaz,restaurant,https://sutbeyaz.com.tr,js,0,
Sütbeyaz,restaurant,https://sutbeyaz.com.tr,js,0,
TADIM LOKANTASI ÇORBACIM,restaurant,http://mahmutlarlife.ru,js,0,
Tavuk Dünyası,restaurant,https://tavukdunyasi.com,js,0,
Tavuk Dünyası,fast_food,https://www.tavukdunyasi.com,js,0,
Tavuk Dünyası,restaurant,https://www.tavukdunyasi.com,js,0,
Tez Gah,cafe,https://www.tezgahburger.com,js,0,
The Green Oasis,restaurant,http://www.the-green-oasis-cafe.tk,js,0,
The Long Beach,cafe,https://longbeach.com.tr,js,0,
The Rock Bar,bar,https://www.instagram.com,js,0,
The Smokey BBQ & Burger,restaurant,https://thesmokey.net,js,0,
The Sudd Coffee Old Town,cafe,https://thesudd.com,js,0,
Tostik,cafe,https://www.tostik.com.tr,js,0,
Trend Coffee,cafe,http://qrmenu.piworks.com.tr,js,0,
Trysa Restaurant Camping,restaurant,https://ilksayfareklamlari.com,js,0,
U1 Coffee.,cafe,https://u1coffee.com.tr,js,0,
Understone,cafe,https://www.understone.com.tr,js,0,
Urfa Sofrası,restaurant,https://urfasofrasi.com,js,0,
Urfa çitir lahmakun,cafe,https://instagram.com,js,0,
Varuna,restaurant,https://varunagezgin.com,js,0,
West Verginia City,restaurant,http://www.west-virginia-city.de,js,0,
White Studio Cafe,cafe,https://www.whitestudiocafe.com,js,0,
Yalan Dünya Mağarası,cafe,https://facebook.com,js,0,
Yemen Coffee,cafe,https://yemenkahvesi.com.tr,html,27,400.00
Yotto Sushi & Wok,fast_food,https://yotto.store,html,68,405.00
Zeytin Dalı,restaurant,http://zeytindalirestaurant.com,js,0,
Zilli Öküz Homemade Burger Alanya,fast_food,http://www.zilliokuz.com,js,0,
Zula,restaurant,https://m.facebook.com,js,0,
Çamlıca,cafe,http://www.camlicadondurmasi.com,js,0,
Çiğerci Bahattin,cafe,https://www.cigercibahattin.net,js,0,
ÇOBANNET FORESTALANYA RESTAURANT CAFE & BAR,restaurant,https://forestalanya.com,js,0,
Çınaraltı Et & Balık Evi,restaurant,https://cinaraltibeycik@hotmail.com,js,0,
Ömer Aybak,fast_food,https://adiyamancigkoftecisi.com,js,0,
Ömer Aybak,fast_food,https://adiyamancigkoftecisi.com,js,0,
Şelale Restoran,restaurant,http://selalerestoran.com,js,0,
Бар Asrın Beach Hotel,bar,https://asrinbeachhotel.com,js,0,
"Кафе магазин ""Тобак, напитки, кальян""",cafe,https://t.me,js,0,
Dina Natura,restaurant,https://www.dinanatura.com,js,0,
Pansyon Karagöl,restaurant,http://www.savsatkaragol.com,js,0,
alo 24,restaurant,https://www.alo24.com.tr,js,0,
"Anatolia Hotel, Restaurant & Camping",restaurant,https://www.anatoliaturizm.com.tr,js,0,
Başdeğirmen Et Balık restoran,restaurant,http://basdegirmenaydin.com,js,0,
Cafedemi,cafe,http://facebook.com,js,0,
